gn_division,week,risk_score,top_features,explanation_text
Thalwatta,2022-01-10 00:00:00,0.178680412434547,"['log_population', 'week_cos', 'total_crimes_roll8']","The elevated vehicle risk in Thalwatta during the past week is primarily driven by log_population, week_cos, which outweighs mitigating factors such as total_crimes_roll8."
Thalwatta,2022-01-17 00:00:00,0.24644176616062588,"['log_population', 'total_crimes_roll8', 'avg_income']","The elevated vehicle risk in Thalwatta during the past week is primarily driven by log_population, total_crimes_roll8, which outweighs mitigating factors such as avg_income."
Thalwatta,2022-01-24 00:00:00,0.19589537399060453,"['log_population', 'total_crimes_roll8', 'avg_income']","The elevated vehicle risk in Thalwatta during the past week is primarily driven by log_population, total_crimes_roll8, which outweighs mitigating factors such as avg_income."
Thalwatta,2022-01-31 00:00:00,0.18927688917336472,"['log_population', 'total_crimes_roll8', 'avg_income']","The elevated vehicle risk in Thalwatta during the past week is primarily driven by log_population, total_crimes_roll8, which outweighs mitigating factors such as avg_income."
Thalwatta,2022-02-07 00:00:00,0.1859435558400314,"['log_population', 'total_crimes_roll8', 'avg_income']","The elevated vehicle risk in Thalwatta during the past week is primarily driven by log_population, total_crimes_roll8, which outweighs mitigating factors such as avg_income."
Thalwatta,2022-02-14 00:00:00,0.1446721953122773,"['log_population', 'total_crimes_roll8', 'avg_income']","The elevated vehicle risk in Thalwatta during the past week is primarily driven by log_population, total_crimes_roll8, which outweighs mitigating factors such as avg_income."
Thalwatta,2022-02-21 00:00:00,0.20230061381027173,"['log_population', 'avg_income', 'total_crimes_roll8']","The elevated vehicle risk in Thalwatta during the past week is primarily driven by log_population, avg_income, which outweighs mitigating factors such as total_crimes_roll8."
Thalwatta,2022-02-28 00:00:00,0.20007282453966135,"['log_population', 'total_crimes_roll8', 'avg_income']","The elevated vehicle risk in Thalwatta during the past week is primarily driven by log_population, total_crimes_roll8, which outweighs mitigating factors such as avg_income."
Thalwatta,2022-03-07 00:00:00,0.19770343280026176,"['log_population', 'total_crimes_roll8', 'avg_income']","The elevated vehicle risk in Thalwatta during the past week is primarily driven by log_population, total_crimes_roll8, which outweighs mitigating factors such as avg_income."
Thalwatta,2022-03-14 00:00:00,0.19770343280026176,"['log_population', 'avg_income', 'total_crimes_roll8']","The elevated vehicle risk in Thalwatta during the past week is primarily driven by log_population, avg_income, which outweighs mitigating factors such as total_crimes_roll8."
Thalwatta,2022-03-21 00:00:00,0.1555138572119762,"['log_population', 'total_crimes_roll8', 'week_sin']","The elevated vehicle risk in Thalwatta during the past week is primarily driven by log_population, total_crimes_roll8, which outweighs mitigating factors such as week_sin."
Thalwatta,2022-03-28 00:00:00,0.14993388641356092,"['log_population', 'total_crimes_roll8', 'week_sin']","The elevated vehicle risk in Thalwatta during the past week is primarily driven by log_population, total_crimes_roll8, which outweighs mitigating factors such as week_sin."
Thalwatta,2022-04-04 00:00:00,0.14546920342766556,"['log_population', 'total_crimes_roll8', 'week_sin']","The elevated vehicle risk in Thalwatta during the past week is primarily driven by log_population, total_crimes_roll8, which outweighs mitigating factors such as week_sin."
Thalwatta,2022-04-11 00:00:00,0.1388536346463469,"['log_population', 'total_crimes_roll8', 'unemployment_rate']","The elevated vehicle risk in Thalwatta during the past week is primarily driven by log_population, total_crimes_roll8, which outweighs mitigating factors such as unemployment_rate."
Thalwatta,2022-04-18 00:00:00,0.14230280357287772,"['log_population', 'total_crimes_roll8', 'avg_income']","The elevated vehicle risk in Thalwatta during the past week is primarily driven by log_population, total_crimes_roll8, which outweighs mitigating factors such as avg_income."
Thalwatta,2022-04-25 00:00:00,0.14533894987164866,"['log_population', 'total_crimes_roll8', 'avg_income']","The elevated vehicle risk in Thalwatta during the past week is primarily driven by log_population, total_crimes_roll8, which outweighs mitigating factors such as avg_income."
Thalwatta,2022-05-02 00:00:00,0.14033894987164866,"['log_population', 'total_crimes_roll8', 'avg_income']","The elevated vehicle risk in Thalwatta during the past week is primarily driven by log_population, total_crimes_roll8, which outweighs mitigating factors such as avg_income."
Thalwatta,2022-05-09 00:00:00,0.14033894987164866,"['log_population', 'total_crimes_roll8', 'avg_income']","The elevated vehicle risk in Thalwatta during the past week is primarily driven by log_population, total_crimes_roll8, which outweighs mitigating factors such as avg_income."
Thalwatta,2022-05-16 00:00:00,0.19186379852981028,"['log_population', 'total_crimes_roll8', 'avg_income']","The elevated vehicle risk in Thalwatta during the past week is primarily driven by log_population, total_crimes_roll8, which outweighs mitigating factors such as avg_income."
Thalwatta,2022-05-23 00:00:00,0.19051453009526984,"['log_population', 'total_crimes_roll8', 'avg_income']","The elevated vehicle risk in Thalwatta during the past week is primarily driven by log_population, total_crimes_roll8, which outweighs mitigating factors such as avg_income."
Thalwatta,2022-05-30 00:00:00,0.183617986545742,"['log_population', 'total_crimes_roll8', 'avg_income']","The elevated vehicle risk in Thalwatta during the past week is primarily driven by log_population, total_crimes_roll8, which outweighs mitigating factors such as avg_income."
Thalwatta,2022-06-06 00:00:00,0.16766073896523603,"['log_population', 'total_crimes_roll8', 'avg_income']","The elevated vehicle risk in Thalwatta during the past week is primarily driven by log_population, total_crimes_roll8, which outweighs mitigating factors such as avg_income."
Thalwatta,2022-06-13 00:00:00,0.13953261613302056,"['log_population', 'total_crimes_roll8', 'avg_income']","The elevated vehicle risk in Thalwatta during the past week is primarily driven by log_population, total_crimes_roll8, which outweighs mitigating factors such as avg_income."
Thalwatta,2022-06-20 00:00:00,0.10238383661302565,"['log_population', 'week_cos', 'total_crimes_roll8']","The elevated vehicle risk in Thalwatta during the past week is primarily driven by log_population, week_cos, which outweighs mitigating factors such as total_crimes_roll8."
Thalwatta,2022-06-27 00:00:00,0.10063502232876402,"['log_population', 'week_cos', 'total_crimes_roll8']","The elevated vehicle risk in Thalwatta during the past week is primarily driven by log_population, week_cos, which outweighs mitigating factors such as total_crimes_roll8."
Thalwatta,2022-07-04 00:00:00,0.0992121251396195,"['log_population', 'week_cos', 'total_crimes_roll8']","The elevated vehicle risk in Thalwatta during the past week is primarily driven by log_population, week_cos, which outweighs mitigating factors such as total_crimes_roll8."
Thalwatta,2022-07-11 00:00:00,0.13242424005186962,"['log_population', 'total_crimes_roll8', 'avg_income']","The elevated vehicle risk in Thalwatta during the past week is primarily driven by log_population, total_crimes_roll8, which outweighs mitigating factors such as avg_income."
Thalwatta,2022-07-18 00:00:00,0.20004983817619298,"['log_population', 'avg_victim_age_roll4', 'total_crimes_roll8']","The elevated vehicle risk in Thalwatta during the past week is primarily driven by log_population, avg_victim_age_roll4, which outweighs mitigating factors such as total_crimes_roll8."
Thalwatta,2022-07-25 00:00:00,0.18907188568434602,"['log_population', 'total_crimes_roll8', 'avg_victim_age_roll4']","The elevated vehicle risk in Thalwatta during the past week is primarily driven by log_population, total_crimes_roll8, which outweighs mitigating factors such as avg_victim_age_roll4."
Thalwatta,2022-08-01 00:00:00,0.200328725847365,"['log_population', 'avg_victim_age_roll4', 'total_crimes_roll8']","The elevated vehicle risk in Thalwatta during the past week is primarily driven by log_population, avg_victim_age_roll4, which outweighs mitigating factors such as total_crimes_roll8."
Thalwatta,2022-08-08 00:00:00,0.09449056919437475,"['log_population', 'total_crimes_roll8', 'avg_victim_age_roll4']","The elevated vehicle risk in Thalwatta during the past week is primarily driven by log_population, total_crimes_roll8, which outweighs mitigating factors such as avg_victim_age_roll4."
Thalwatta,2022-08-15 00:00:00,0.1364515116257664,"['log_population', 'total_crimes_roll8', 'avg_income']","The elevated vehicle risk in Thalwatta during the past week is primarily driven by log_population, total_crimes_roll8, which outweighs mitigating factors such as avg_income."
Thalwatta,2022-08-22 00:00:00,0.13294646841827717,"['log_population', 'total_crimes_roll8', 'avg_income']","The elevated vehicle risk in Thalwatta during the past week is primarily driven by log_population, total_crimes_roll8, which outweighs mitigating factors such as avg_income."
Thalwatta,2022-08-29 00:00:00,0.099105433110257,"['log_population', 'total_crimes_roll8', 'avg_income']","The elevated vehicle risk in Thalwatta during the past week is primarily driven by log_population, total_crimes_roll8, which outweighs mitigating factors such as avg_income."
Thalwatta,2022-09-05 00:00:00,0.0749389964764227,"['log_population', 'total_crimes_roll8', 'week_sin']","The elevated vehicle risk in Thalwatta during the past week is primarily driven by log_population, total_crimes_roll8, which outweighs mitigating factors such as week_sin."
Thalwatta,2022-09-12 00:00:00,0.08990537622112728,"['log_population', 'week_sin', 'total_crimes_roll8']","The elevated vehicle risk in Thalwatta during the past week is primarily driven by log_population, week_sin, which outweighs mitigating factors such as total_crimes_roll8."
Thalwatta,2022-09-19 00:00:00,0.09471932970949938,"['log_population', 'week_sin', 'total_crimes_roll8']","The elevated vehicle risk in Thalwatta during the past week is primarily driven by log_population, week_sin, which outweighs mitigating factors such as total_crimes_roll8."
Thalwatta,2022-09-26 00:00:00,0.09471932970949938,"['log_population', 'week_sin', 'total_crimes_roll8']","The elevated vehicle risk in Thalwatta during the past week is primarily driven by log_population, week_sin, which outweighs mitigating factors such as total_crimes_roll8."
Thalwatta,2022-10-03 00:00:00,0.09434740021196404,"['log_population', 'total_crimes_roll8', 'week_sin']","The elevated vehicle risk in Thalwatta during the past week is primarily driven by log_population, total_crimes_roll8, which outweighs mitigating factors such as week_sin."
Thalwatta,2022-10-10 00:00:00,0.0926339898334641,"['log_population', 'total_crimes_roll8', 'week_sin']","The elevated vehicle risk in Thalwatta during the past week is primarily driven by log_population, total_crimes_roll8, which outweighs mitigating factors such as week_sin."
Thalwatta,2022-10-17 00:00:00,0.09404266615952199,"['log_population', 'total_crimes_roll8', 'week_sin']","The elevated vehicle risk in Thalwatta during the past week is primarily driven by log_population, total_crimes_roll8, which outweighs mitigating factors such as week_sin."
Thalwatta,2022-10-24 00:00:00,0.08480896547882903,"['log_population', 'total_crimes_roll8', 'unemployment_rate']","The elevated vehicle risk in Thalwatta during the past week is primarily driven by log_population, total_crimes_roll8, which outweighs mitigating factors such as unemployment_rate."
Thalwatta,2022-10-31 00:00:00,0.09408187553172982,"['log_population', 'total_crimes_roll8', 'unemployment_rate']","The elevated vehicle risk in Thalwatta during the past week is primarily driven by log_population, total_crimes_roll8, which outweighs mitigating factors such as unemployment_rate."
Thalwatta,2022-11-07 00:00:00,0.13675980257674264,"['log_population', 'total_crimes_roll8', 'avg_income']","The elevated vehicle risk in Thalwatta during the past week is primarily driven by log_population, total_crimes_roll8, which outweighs mitigating factors such as avg_income."
Thalwatta,2022-11-14 00:00:00,0.13990905859760475,"['log_population', 'total_crimes_roll8', 'avg_income']","The elevated vehicle risk in Thalwatta during the past week is primarily driven by log_population, total_crimes_roll8, which outweighs mitigating factors such as avg_income."
Thalwatta,2022-11-21 00:00:00,0.14271125639980256,"['log_population', 'total_crimes_roll8', 'avg_income']","The elevated vehicle risk in Thalwatta during the past week is primarily driven by log_population, total_crimes_roll8, which outweighs mitigating factors such as avg_income."
Thalwatta,2022-11-28 00:00:00,0.14271125639980256,"['log_population', 'total_crimes_roll8', 'avg_income']","The elevated vehicle risk in Thalwatta during the past week is primarily driven by log_population, total_crimes_roll8, which outweighs mitigating factors such as avg_income."
Thalwatta,2022-12-05 00:00:00,0.19155860132988892,"['log_population', 'total_crimes_roll8', 'avg_income']","The elevated vehicle risk in Thalwatta during the past week is primarily driven by log_population, total_crimes_roll8, which outweighs mitigating factors such as avg_income."
