crime,roc_auc,pr_auc,precision,recall,f1,threshold,test_support_positive
burglary,0.724679309159195,0.021206970494447853,0.016,0.044444444444444446,0.023529411764705882,0.542960538343819,45
theft,0.5587633830298179,0.009830448770674387,0.0,0.0,0.0,0.513015247353117,38
vehicle,0.6249410377358491,0.0037073348430632317,0.0013054830287206266,0.3333333333333333,0.002600780234070221,0.24467776336151092,6
robbery,0.6306475648580911,0.018095922284758505,0.02030456852791878,0.2857142857142857,0.037914691943127965,0.5937935276303391,28
drugs,0.668264678030303,0.020858044021582357,0.05263157894736842,0.045454545454545456,0.04878048780487805,0.5545615596560426,22
stabbing,0.5735889479905437,0.006424300769337521,0.0032102728731942215,0.125,0.006259780907668232,0.38564892923469984,16
