gn_division,week,risk_score,top_features,explanation_text
Thalathuoya East,2025-01-20 00:00:00,0.06113154425036816,"['year', 'log_population', 'total_crimes_roll8']","The elevated robbery risk in Thalathuoya East during the past week is primarily driven by year, log_population, which outweighs mitigating factors such as total_crimes_roll8."
Thalathuoya East,2025-01-27 00:00:00,0.060131544250368166,"['year', 'log_population', 'total_crimes_roll8']","The elevated robbery risk in Thalathuoya East during the past week is primarily driven by year, log_population, which outweighs mitigating factors such as total_crimes_roll8."
Thalathuoya East,2025-02-03 00:00:00,0.06003755928796215,"['year', 'log_population', 'total_crimes_roll8']","The elevated robbery risk in Thalathuoya East during the past week is primarily driven by year, log_population, which outweighs mitigating factors such as total_crimes_roll8."
Thalathuoya East,2025-02-10 00:00:00,0.060577760292987275,"['year', 'log_population', 'total_crimes_roll8']","The elevated robbery risk in Thalathuoya East during the past week is primarily driven by year, log_population, which outweighs mitigating factors such as total_crimes_roll8."
Thalathuoya East,2025-02-17 00:00:00,0.06988022051362719,"['year', 'log_population', 'total_crimes_roll8']","The elevated robbery risk in Thalathuoya East during the past week is primarily driven by year, log_population, which outweighs mitigating factors such as total_crimes_roll8."
Thalathuoya East,2025-02-24 00:00:00,0.07263184801643559,"['year', 'log_population', 'total_crimes_roll8']","The elevated robbery risk in Thalathuoya East during the past week is primarily driven by year, log_population, which outweighs mitigating factors such as total_crimes_roll8."
Thalathuoya East,2025-03-03 00:00:00,0.05972300756789868,"['year', 'log_population', 'total_crimes_roll8']","The elevated robbery risk in Thalathuoya East during the past week is primarily driven by year, log_population, which outweighs mitigating factors such as total_crimes_roll8."
Thalathuoya East,2025-03-10 00:00:00,0.06231563256900564,"['year', 'log_population', 'total_crimes_roll8']","The elevated robbery risk in Thalathuoya East during the past week is primarily driven by year, log_population, which outweighs mitigating factors such as total_crimes_roll8."
Thalathuoya East,2025-03-17 00:00:00,0.05848638289861717,"['year', 'log_population', 'total_crimes_roll8']","The elevated robbery risk in Thalathuoya East during the past week is primarily driven by year, log_population, which outweighs mitigating factors such as total_crimes_roll8."
Thalathuoya East,2025-03-24 00:00:00,0.057959109608271005,"['year', 'log_population', 'total_crimes_roll8']","The elevated robbery risk in Thalathuoya East during the past week is primarily driven by year, log_population, which outweighs mitigating factors such as total_crimes_roll8."
Thalathuoya East,2025-03-31 00:00:00,0.058959109608271006,"['year', 'log_population', 'total_crimes_roll8']","The elevated robbery risk in Thalathuoya East during the past week is primarily driven by year, log_population, which outweighs mitigating factors such as total_crimes_roll8."
Thalathuoya East,2025-04-07 00:00:00,0.06037577627493767,"['year', 'log_population', 'total_crimes_roll8']","The elevated robbery risk in Thalathuoya East during the past week is primarily driven by year, log_population, which outweighs mitigating factors such as total_crimes_roll8."
Thalathuoya East,2025-04-14 00:00:00,0.06483741220085129,"['year', 'log_population', 'total_crimes_roll8']","The elevated robbery risk in Thalathuoya East during the past week is primarily driven by year, log_population, which outweighs mitigating factors such as total_crimes_roll8."
Thalathuoya East,2025-04-21 00:00:00,0.07936809673671412,"['year', 'log_population', 'total_crimes_roll8']","The elevated robbery risk in Thalathuoya East during the past week is primarily driven by year, log_population, which outweighs mitigating factors such as total_crimes_roll8."
Thalathuoya East,2025-04-28 00:00:00,0.08746520943916086,"['year', 'log_population', 'total_crimes_roll8']","The elevated robbery risk in Thalathuoya East during the past week is primarily driven by year, log_population, which outweighs mitigating factors such as total_crimes_roll8."
Thalathuoya East,2025-05-05 00:00:00,0.07536059376435422,"['year', 'log_population', 'total_crimes_roll8']","The elevated robbery risk in Thalathuoya East during the past week is primarily driven by year, log_population, which outweighs mitigating factors such as total_crimes_roll8."
Thalathuoya East,2025-05-12 00:00:00,0.04722990745708873,"['year', 'log_population', 'total_crimes_roll8']","The elevated robbery risk in Thalathuoya East during the past week is primarily driven by year, log_population, which outweighs mitigating factors such as total_crimes_roll8."
Thalathuoya East,2025-05-19 00:00:00,0.03441870043033965,"['year', 'log_population', 'total_crimes_roll8']","The elevated robbery risk in Thalathuoya East during the past week is primarily driven by year, log_population, which outweighs mitigating factors such as total_crimes_roll8."
Thalathuoya East,2025-05-26 00:00:00,0.032922783914913156,"['year', 'log_population', 'total_crimes_roll8']","The elevated robbery risk in Thalathuoya East during the past week is primarily driven by year, log_population, which outweighs mitigating factors such as total_crimes_roll8."
Thalathuoya East,2025-06-02 00:00:00,0.032922783914913156,"['year', 'log_population', 'total_crimes_roll8']","The elevated robbery risk in Thalathuoya East during the past week is primarily driven by year, log_population, which outweighs mitigating factors such as total_crimes_roll8."
Thalathuoya East,2025-06-09 00:00:00,0.031087066517294804,"['year', 'log_population', 'total_crimes_roll8']","The elevated robbery risk in Thalathuoya East during the past week is primarily driven by year, log_population, which outweighs mitigating factors such as total_crimes_roll8."
Thalathuoya East,2025-06-16 00:00:00,0.031087066517294804,"['year', 'log_population', 'total_crimes_roll8']","The elevated robbery risk in Thalathuoya East during the past week is primarily driven by year, log_population, which outweighs mitigating factors such as total_crimes_roll8."
Thalathuoya East,2025-06-23 00:00:00,0.031087066517294804,"['year', 'log_population', 'total_crimes_roll8']","The elevated robbery risk in Thalathuoya East during the past week is primarily driven by year, log_population, which outweighs mitigating factors such as total_crimes_roll8."
Thalathuoya East,2025-06-30 00:00:00,0.031087066517294804,"['year', 'log_population', 'total_crimes_roll8']","The elevated robbery risk in Thalathuoya East during the past week is primarily driven by year, log_population, which outweighs mitigating factors such as total_crimes_roll8."
Thalathuoya East,2025-07-07 00:00:00,0.031087066517294804,"['year', 'log_population', 'total_crimes_roll8']","The elevated robbery risk in Thalathuoya East during the past week is primarily driven by year, log_population, which outweighs mitigating factors such as total_crimes_roll8."
Thalathuoya East,2025-07-14 00:00:00,0.0298370665172948,"['year', 'log_population', 'total_crimes_roll8']","The elevated robbery risk in Thalathuoya East during the past week is primarily driven by year, log_population, which outweighs mitigating factors such as total_crimes_roll8."
