crime,location,date,sex,victim_ethnicity,victim_age,time,weather,latitude,longitude,holiday_name,is_holiday,land_use_type,gn_division,gn_pcode,gn_population,gn_distance_m,victim_ethnicity ,DS_Division,Avg_Household_Income,Unemployment_Rate,Building_Density,Road_Density,Land_Area_Density
stabbing,yatinuwara street,2/15/2020,m,sinhala,18,1:02:00,Rainy,7.294604891,80.6346579,Non-Holiday,0,General Urban,Mahanuwara,LK2130120,11613,260.6,sinhala,Gangawata Korale,114885,4.55,964.1,19.8,22.36
robbery,pathanawatte heerassagala,2/16/2020,m,sinhala,30,4:01:00,Cloudy,7.263325338,80.61899758,Non-Holiday,0,General Urban,Bowalawatta,LK2130300,2441,471.3,sinhala,Gangawata Korale,113987,4.49,318.8,19.8,4.21
robbery,ogastawatte,2/19/2020,f,sinhala,31,3:33:00,Cloudy,7.29158515,80.63521031,Non-Holiday,0,General Urban,Bogambara,LK2130145,2198,510.8,sinhala,Gangawata Korale,115679,4.56,896.5,19.7,20.44
robbery,mahaiyawa,2/20/2020,m,muslim,52,3:35:00,Cloudy,7.304785352,80.63172464,Non-Holiday,0,General Urban,Poorna Watta East,LK2130075,17005,230.5,muslim,Gangawata Korale,109533,4.68,1165.6,22,16.97
robbery,gatambe bridge,2/20/2020,m,sinhala,33,21:56:00,Cloudy,7.274081136,80.60392383,Non-Holiday,0,Commercial,Bowala,LK2130205,2430,1027.7,sinhala,Gangawata Korale,116623,4.52,297.1,10.2,8.09
theft,yatinuwara street,2/21/2020,m,sinhala,51,5:33:00,Rainy,7.294562443,80.63446446,Maha Sivarathri Day,1,General Urban,Mahanuwara,LK2130120,11613,278.3,sinhala,Gangawata Korale,107559,4.35,974.3,20,22.35
theft,dodamwela,2/21/2020,m,sinhala,72,18:09:00,Rainy,7.290980109,80.54108371,Maha Sivarathri Day,1,General Urban,Ihala Dodamwala,LK2136120,6861,113.5,sinhala,Yatinuwara,79305,5.83,25.5,5.3,0.25
stabbing,bus stand,2/23/2020,m,sinhala,43,16:52:00,Rainy,7.299352234,80.63443688,Non-Holiday,0,Commercial,Mahanuwara,LK2130120,11613,380.2,sinhala,Gangawata Korale,108021,4.58,1105.7,16.4,19.52
stabbing,dalada maligawa,2/25/2020,m,sinhala,45,15:50:00,Cloudy,7.295599913,80.64014066,Non-Holiday,0,Commercial,Boowelikada,LK2130135,2310,435.9,sinhala,Gangawata Korale,104697,4.66,520.3,5.9,13.57
robbery,buwelikada,2/29/2020,m,muslim,24,18:23:00,Rainy,7.300669699,80.65150774,Non-Holiday,0,Commercial,Sirimalwatta West,LK2127180,18568,456.9,muslim,Kundasale,72774,5.46,617.2,13.7,12.53
burglary,bus stand,3/1/2020,f,sinhala,52,0:14:00,Cloudy,7.301559895,80.63596593,Non-Holiday,0,Commercial,Mahaiyawa,LK2130065,11543,223.9,sinhala,Gangawata Korale,104604,4.66,1003.7,15.7,17.74
robbery,buwelikada,3/2/2020,m,muslim,24,1:47:00,Cloudy,7.300888549,80.65369519,Non-Holiday,0,Commercial,Sirimalwatta East,LK2127185,18565,351.2,muslim,Kundasale,80560,5.25,681,12.9,12.37
theft,kotugodalla road,3/5/2020,m,sinhala,40,23:14:00,Rainy,7.295584939,80.63846983,Non-Holiday,0,General Urban,Mahanuwara,LK2130120,11613,268.7,sinhala,Gangawata Korale,120145,4.49,725.6,9.9,18.17
theft,ampitiya town,3/6/2020,m,tamil,17,8:29:00,Rainy,7.272106412,80.66018892,Non-Holiday,0,General Urban,Ampitiya Pallegama,LK2130245,928,419.3,tamil,Gangawata Korale,116855,4.62,122.4,10.3,2.64
theft,bowalawatte,3/7/2020,m,sinhala,30,6:14:00,Rainy,7.258742637,80.62357531,Non-Holiday,0,General Urban,Bowalawatta,LK2130300,2441,623.7,sinhala,Gangawata Korale,111942,4.41,7.7,5.8,0.38
robbery,kotugodalla road,3/9/2020,m,sinhala,26,5:00:00,Rainy,7.296179116,80.63597117,Non-Holiday,0,General Urban,Mahanuwara,LK2130120,11613,33.5,sinhala,Gangawata Korale,115286,4.64,932.2,17.1,21.7
burglary,thalathuoya road,3/12/2020,f,sinhala,57,8:19:00,Cloudy,7.249179027,80.68527719,Non-Holiday,0,General Urban,Batagalla,LK2145100,1785,519.9,sinhala,Pathahewaheta,60125,7.17,71.4,5.5,0.93
theft,peradeniya road,3/17/2020,m,sinhala,35,0:34:00,Rainy,7.28027324,80.62030399,Special Public Holiday,1,General Urban,Suduhumpala West,LK2130165,18808,269.5,sinhala,Gangawata Korale,121006,4.35,816.2,27.7,17.23
stabbing,heerassagala junction,3/17/2020,f,sinhala,53,4:18:00,Rainy,7.276013435,80.62195445,Special Public Holiday,1,Commercial,Suduhumpala West,LK2130165,18808,541.4,sinhala,Gangawata Korale,123369,4.41,598.1,25.7,12.22
theft,ampitiya town,3/22/2020,foreign couple,sinhala,19,13:31:00,Rainy,7.272957736,80.65989457,Non-Holiday,0,General Urban,Ampitiya Pallegama,LK2130245,928,422.6,sinhala,Gangawata Korale,121685,4.34,123.7,7.6,2.99
stabbing,udabowala,3/26/2020,m,tamil,28,7:49:00,Cloudy,7.265868693,80.61589778,Non-Holiday,0,General Urban,Uda Bowala,LK2130200,19819,202.9,tamil,Gangawata Korale,123223,4.62,572.6,20.2,6.66
stabbing,post office,3/28/2020,m,muslim,40,0:40:00,Rainy,7.291384905,80.63356614,Non-Holiday,0,Commercial,Ihala Katukele,LK2130115,6925,384.7,muslim,Gangawata Korale,106413,4.61,803.4,22.3,19.77
stabbing,municipal indoor sports complex,4/6/2020,f,sinhala,38,19:19:00,Rainy,7.285948222,80.62429855,Non-Holiday,0,Commercial,Katukele West,LK2130105,8913,263.6,sinhala,Gangawata Korale,112482,4.53,1212.8,25.1,20.38
stabbing,pathanawatte heerassagala,4/7/2020,m,muslim,33,7:06:00,Rainy,7.261437011,80.61877275,Esala Full Moon Poya Day,1,General Urban,Bowalawatta,LK2130300,2441,263.2,muslim,Gangawata Korale,109951,4.66,158.1,20.3,3.28
burglary,people's bank,4/7/2020,m,muslim,40,12:31:00,Rainy,7.291552309,80.6353889,Esala Full Moon Poya Day,1,General Urban,Bogambara,LK2130145,2198,517.6,muslim,Gangawata Korale,110951,4.39,890.2,19.8,20.43
stabbing,kandy hospital,4/7/2020,m,muslim,43,21:07:00,Rainy,7.286864047,80.63232064,Esala Full Moon Poya Day,1,Residential,Bogambara,LK2130145,2198,105.4,muslim,Gangawata Korale,111153,4.36,830.2,19.2,18.48
stabbing,kandy hospital,4/7/2020,m,muslim,43,22:08:00,Rainy,7.286917118,80.63104004,Esala Full Moon Poya Day,1,Residential,Bogambara,LK2130145,2198,223.5,muslim,Gangawata Korale,121065,4.67,927.1,19.7,19.35
robbery,hewaheta,4/8/2020,m,sinhala,43,12:59:00,Rainy,7.112262296,80.76137309,Non-Holiday,0,General Urban,Kotagepitiya,LK2148125,10224,6760.2,sinhala,Deltota,64829,6.65,0,0,0
